Episode,Start_Date,Last_Drawdown_Date,Trading_Days_In_Drawdown,Maximum_Drawdown,Trough_Date,Calendar_Days_In_Drawdown,Ongoing
208,2020-02-07,2020-02-11,3,-0.014887141631758194,2020-02-11,4,False
209,2020-02-13,2020-06-04,78,-0.31427268407724407,2020-03-23,112,False
210,2020-06-11,2020-06-19,7,-0.048010226675024414,2020-06-11,8,False
211,2020-06-24,2020-07-02,7,-0.035194661496211865,2020-06-26,8,False
212,2020-07-07,2020-07-07,1,-0.0031028921989669778,2020-07-07,0,False
213,2020-07-13,2020-07-13,1,-0.004613283830295689,2020-07-13,0,False
214,2020-07-16,2020-07-17,2,-0.014300133326844988,2020-07-17,1,False
215,2020-07-21,2020-07-30,8,-0.05838398794440425,2020-07-24,9,False
216,2020-08-07,2020-08-12,4,-0.03801758308197678,2020-08-11,5,False
217,2020-08-14,2020-08-17,2,-0.0034997433494163843,2020-08-17,3,False
218,2020-08-25,2020-08-25,1,-0.008203709449011942,2020-08-25,0,False
219,2020-08-27,2020-08-28,2,-0.01355533272157683,2020-08-28,1,False
220,2020-09-02,2020-12-24,80,-0.2037563633564542,2020-09-18,113,False
221,2020-12-29,2021-01-20,15,-0.0738168287754748,2021-01-06,22,False
222,2021-01-27,2021-07-06,111,-0.1859887976518919,2021-03-08,160,False
223,2021-07-08,2021-07-08,1,-0.00919969711843105,2021-07-08,0,False
224,2021-07-12,2021-07-12,1,-0.004203596005628252,2021-07-12,0,False
225,2021-07-15,2021-08-12,21,-0.04492141132297134,2021-07-19,28,False
226,2021-08-17,2021-08-27,9,-0.03149790680629572,2021-08-18,10,False
227,2021-08-31,2021-09-01,2,-0.008424431300313673,2021-08-31,1,False
228,2021-09-08,2021-11-17,51,-0.11200454396419146,2021-10-04,70,False
229,2021-11-26,2021-11-29,2,-0.0316784874537277,2021-11-26,3,False
230,2021-12-01,2021-12-03,3,-0.020931763720386742,2021-12-03,2,False
231,2021-12-09,2021-12-09,1,-0.002970167876183205,2021-12-09,0,False
232,2021-12-13,2021-12-23,9,-0.05405408699223535,2021-12-20,10,False
233,2021-12-28,2021-12-31,4,-0.015305361818656382,2021-12-31,3,False
234,2022-01-04,2023-06-01,354,-0.30912814922212417,2023-01-05,513,False
235,2023-06-05,2023-06-08,4,-0.01729730858486156,2023-06-07,3,False
236,2023-06-13,2023-06-13,1,-0.0026117908322661476,2023-06-13,0,False
237,2023-06-16,2023-06-21,3,-0.011020811213826587,2023-06-21,5,False
238,2023-06-23,2023-06-26,2,-0.00925138128089642,2023-06-26,3,False
239,2023-07-03,2023-07-14,9,-0.030365496980311768,2023-07-11,11,False
240,2023-07-18,2023-07-18,1,-0.0013403308342032627,2023-07-18,0,False
241,2023-07-20,2023-07-27,6,-0.016197088575352625,2023-07-21,7,False
242,2023-08-01,2023-12-12,94,-0.14932376133272274,2023-10-26,133,False
243,2023-12-15,2024-06-10,121,-0.16606666725397146,2024-04-19,178,False
244,2024-06-14,2024-06-14,1,-0.008168403790145162,2024-06-14,0,False
245,2024-06-18,2024-06-28,8,-0.042368597556337484,2024-06-21,10,False
246,2024-07-11,2024-07-12,2,-0.023220812771093224,2024-07-11,1,False
247,2024-07-17,2024-10-17,66,-0.11749424505733552,2024-08-06,92,False
248,2024-10-22,2024-11-27,27,-0.0611891757542673,2024-11-04,36,False
249,2024-12-06,2024-12-06,1,-0.0008229878582414196,2024-12-06,0,False
250,2024-12-11,2024-12-11,1,-0.005166099637575083,2024-12-11,0,False
251,2024-12-18,2024-12-19,2,-0.021421832385622785,2024-12-18,1,False
252,2024-12-27,2025-10-17,202,-0.3336052559468633,2025-04-08,294,False
253,2025-10-22,2025-10-23,2,-0.01644002930028554,2025-10-22,1,False
254,2025-10-31,2025-11-10,7,-0.010795774145579085,2025-11-07,10,False
255,2025-11-12,2025-11-21,8,-0.03269749951861656,2025-11-20,9,False
256,2025-12-03,2026-05-05,105,-0.13798523953754416,2026-01-20,153,False
257,2026-05-07,2026-05-07,1,-0.0002435044652232543,2026-05-07,0,False
258,2026-05-11,2026-05-11,1,-0.0012626131025762488,2026-05-11,0,False
259,2026-05-14,2026-05-14,1,-0.002208293097152536,2026-05-14,0,False
260,2026-05-18,2026-05-19,2,-0.007960661114649215,2026-05-18,1,False
261,2026-05-26,2026-05-26,1,-0.001586735786880733,2026-05-26,0,False
262,2026-05-29,2026-06-01,2,-0.01983940972900955,2026-06-01,3,False
263,2026-06-03,2026-07-08,24,-0.12706222175450266,2026-06-25,35,False
264,2026-07-10,2026-07-10,1,-0.002846043762522954,2026-07-10,0,False
265,2026-07-14,2026-07-14,1,-0.007721115748007268,2026-07-14,0,False
266,2026-07-20,2026-07-24,5,-0.036195720376242524,2026-07-23,4,False
267,2026-07-29,2026-08-10,9,-0.10779801723312576,2026-08-03,12,True
